Pitch (MIDI);Time (s);Max Intensity;Max Intensity change;Pitch-duration (s);
67;0;0.16123697;1.143977604;0.021408081;
55;0.05121398;0.14352548;0.915267527;0.048663378;FALSO
108;7.711054802;0.06570902;0.500204861;7.640983343;FALSO
77;7.731177807;0.078407146;1.193247914;0.020123005;FALSO
62;7.920959949;0.06995523;0.892204762;0.189782143;FALSO
74;7.941114426;0.12751418;1.82279706;0.020154476;FALSO
62;7.961225271;0.17661826;1.385087252;0.139897108;FALSO
72;8.1511693;0.13747501;1.942807794;0.070157766;FALSO
56;8.169902325;0.18186526;1.322896838;0.018733025;FALSO
53;8.200082779;0.1137055;0.625218391;0.030180454;FALSO
58;8.220719576;0.07251018;0.637701631;0.020636797;FALSO
59;8.241328716;0.10576359;1.44285357;0.139090776;FALSO
80;8.380955219;0.09230648;0.872762322;0.021144867;FALSO
108;8.400020838;0.08765242;0.949580371;0.048787117;FALSO
107;8.471060991;0.07693564;1.325102806;0.071309566;FALSO
43;8.519782782;0.05367112;0.721119404;0.018730879;FALSO
71;8.571171999;0.10976034;1.911222935;0.070108891;FALSO
54;8.610941887;0.09889974;0.9010517;0.021050215;FALSO
108;8.640999794;0.07679469;0.776490331;0.030057907;FALSO
80;8.661113977;0.087297305;1.287982702;0.138924122;FALSO
71;8.800686598;0.10552332;1.46220088;0.020762682;FALSO
72;8.821276426;0.12049873;1.141915679;0.020589828;FALSO
57;8.849836111;0.13069656;1.116060138;0.139474154;FALSO
72;8.990962505;0.13584055;1.619713664;0.049358368;FALSO
56;9.030875921;0.16703302;1.229625583;0.020766973;FALSO
54;9.051049709;0.12916712;0.773302972;0.020173788;FALSO
50;9.08095336;0.1100881;0.852291942;0.02990365;FALSO
59;9.100097656;0.12869492;1.141893268;0.1604774;FALSO
72;9.26039958;0.15571827;1.601380706;0.018968821;FALSO
62;9.290565252;0.18882267;1.169028044;0.188289404;FALSO
54;9.47298789;0.09525904;0.79932785;0.024298906;FALSO
96;9.50121069;0.08352803;0.876851439;0.028222799;FALSO
80;9.51999259;0.10425824;1.284789205;0.069386005;FALSO
54;9.590060472;0.114195645;1.095315337;0.019463778;FALSO
72;9.610753298;0.09283125;0.812914073;0.020692825;FALSO
74;9.640642405;0.07993465;0.861074805;0.029889107;FALSO
71;9.660877705;0.15571351;1.948010206;0.0202353;FALSO
62;9.679756641;0.21068096;1.24508059;0.139814615;FALSO
63;9.822562695;0.12994646;0.698753655;0.021870375;FALSO
64;9.839921474;0.1456941;1.176530242;0.046340942;FALSO
52;9.892516613;0.20659606;1.437108874;0.07110405;FALSO
63;9.959262848;0.22518471;1.089975834;0.019255161;FALSO
62;9.980969906;0.20637514;0.99926734;0.071908474;FALSO
61;10.05099821;0.1775248;0.915184319;0.019826889;FALSO
71;10.07828212;0.1175625;0.662231386;0.027283907;FALSO
59;10.09983611;0.13010016;1.082331896;0.04392767;FALSO
71;10.15111613;0.1464607;1.125753403;0.028906345;FALSO
59;10.17110682;0.17056035;1.164546847;0.180059433;FALSO
108;10.3604207;0.08384978;0.900522709;0.029245138;FALSO
80;10.38112426;0.08926449;1.041317821;0.040786505;FALSO
79;10.4188025;0.09692944;1.086260438;0.048583746;FALSO
71;10.47116613;0.10628046;1.096472502;0.070074797;FALSO
80;10.54103255;0.11045759;1.064814448;0.021166801;FALSO
108;10.56110525;0.13586801;1.230046868;0.020072699;FALSO
60;10.58848476;0.14006414;1.030883789;0.069676399;FALSO
54;10.65846968;0.11372929;0.92774868;0.027688026;FALSO
33;10.67973447;0.13003293;1.143354774;0.042847633;FALSO
60;10.72966194;0.16978785;1.541111827;0.028344631;FALSO
54;10.75120211;0.2167133;1.276376843;0.021540165;FALSO
52;10.77138519;0.0716352;1.280054092;0.070479155;FALSO
62;10.83967829;0.14054115;1.481235147;0.069587946;FALSO
40;10.90868282;0.1293187;0.952171803;0.017413616;FALSO
73;10.93974757;0.10144351;1.060416222;0.052887917;FALSO
66;10.9789784;0.13021825;1.239571691;0.046634436;FALSO
47;11.02943635;0.10896548;0.906772912;0.043578386;FALSO
54;11.07128549;0.11490292;1.162903309;0.019501925;FALSO
66;11.10033464;0.12584655;1.095242381;0.070301533;FALSO
62;11.17225718;0.10435723;1.03534472;0.030670166;FALSO
66;11.18949986;0.12513585;1.199110508;0.087975025;FALSO
79;11.27955604;0.09528307;1.204519033;0.019323826;FALSO
43;11.31064916;0.101217665;1.062283874;0.031093121;FALSO
76;11.33158278;0.09629364;1.040104866;0.039372683;FALSO
62;11.3813746;0.12137843;1.260503054;0.031352758;FALSO
66;11.40157056;0.124856286;1.287950635;0.038964272;FALSO
62;11.45394444;0.11411039;1.219045639;0.052326918;FALSO
60;11.49256444;0.09926281;0.869884074;0.019898653;FALSO
59;11.5231204;0.12058476;1.21480298;0.030555964;FALSO
47;11.5437026;0.12923545;1.071739435;0.020582199;FALSO
59;11.56383538;0.1640277;1.190933824;0.069124222;FALSO
54;11.63364029;0.1926677;1.174604535;0.020813465;FALSO
66;11.6638782;0.21185647;1.099595189;0.119218349;FALSO
54;11.77395582;0.11522273;0.759552121;0.038202763;FALSO
66;11.8195138;0.10065748;1.150138855;0.028452396;FALSO
62;11.8393507;0.12192261;1.211262345;0.019836903;FALSO
63;11.86117291;0.12534532;1.028072834;0.021822214;FALSO
64;11.89156771;0.12713881;1.014308333;0.050508261;FALSO
52;11.93078279;0.14318082;1.10640645;0.159894466;FALSO
64;12.1011498;0.10872841;1.159238577;0.049631596;FALSO
52;12.14157748;0.12530741;1.152480841;0.050306082;FALSO
64;12.19025493;0.11942748;0.983705401;0.018741608;FALSO
62;12.21173;0.12866782;1.18240726;0.141346693;FALSO
74;12.34901476;0.12870947;1.193222523;0.017413139;FALSO
73;12.38003564;0.09549216;0.741920292;0.03102088;FALSO
62;12.40158319;0.10460292;1.09540844;0.042212248;FALSO
71;12.44138122;0.1555719;1.607903242;0.019133329;FALSO
56;12.4712286;0.12960953;0.833116591;0.029847383;FALSO
50;12.49132681;0.12913214;0.996316731;0.020098209;FALSO
62;12.50977349;0.14291306;1.068436265;0.118656635;FALSO
64;12.63110209;0.12173869;0.936490238;0.041303158;FALSO
52;12.68135309;0.12805304;1.127020955;0.070035458;FALSO
64;12.75173521;0.12022917;0.989240587;0.048459291;FALSO
52;12.79157352;0.117929325;0.991539538;0.021792173;FALSO
60;12.82145786;0.112490945;0.953884423;0.029884338;FALSO
35;12.84183002;0.10586851;0.941129208;0.020372152;FALSO
60;12.86114264;0.10667;1.007570624;0.01931262;FALSO
62;12.89116669;0.09198622;0.862343848;0.030024052;FALSO
52;12.91098666;0.09933498;1.137097359;0.038542747;FALSO
64;12.96032834;0.101836205;1.088283896;0.100240231;FALSO
66;13.05176282;0.117005624;1.198799729;0.130445957;FALSO
62;13.19027042;0.14734031;1.122769594;0.071591377;FALSO
61;13.26183295;0.16152091;1.096243858;0.029845953;FALSO
42;13.27999163;0.12878156;0.797305763;0.018158674;FALSO
61;13.30111694;0.17853767;1.386360526;0.021125317;FALSO
42;13.33192301;0.15960376;0.893950045;0.030806065;FALSO
49;13.34998894;0.18042424;1.130451083;0.018065929;FALSO
61;13.37208772;0.21122222;1.162394524;0.401255846;FALSO
54;13.77010608;0.13453789;1.120862484;0.018861294;FALSO
49;13.79154587;0.15067397;1.119937062;0.021439791;FALSO
61;13.81168008;0.19547881;1.080697656;0.159685373;FALSO
62;13.98106503;0.18362148;1.374373198;0.069074154;FALSO
61;14.05158043;0.17220867;1.003994703;0.120828152;FALSO
60;14.16195679;0.15673628;1.200796485;0.02082324;FALSO
59;14.19158459;0.14928406;0.952453792;0.0296278;FALSO
52;14.21241736;0.14308633;0.958483636;0.020832777;FALSO
59;14.23141956;0.24294975;1.241526008;0.159566402;FALSO
60;14.40142727;0.11178877;1.241990209;0.049585581;FALSO
72;14.44032192;0.14160125;1.266685843;0.018752575;FALSO
73;14.46173716;0.17103477;1.20786202;0.021415234;FALSO
74;14.49158883;0.2167032;1.202663422;0.119840622;FALSO
62;14.6001699;0.11517633;0.859285474;0.018592119;FALSO
53;14.63038898;0.08645026;0.750590503;0.030219078;FALSO
95;14.65155315;0.08602968;0.995135009;0.021164179;FALSO
62;14.66973782;0.093622886;1.088262677;0.018184662;FALSO
72;14.69999456;0.11324263;1.137900829;0.052065849;FALSO
73;14.74161482;0.09639973;0.851267159;0.019811153;FALSO
72;14.77208686;0.08269636;0.857848465;0.03047204;FALSO
76;14.79149103;0.11908997;1.44008708;0.019404173;FALSO
74;14.81312227;0.16435774;1.189682007;0.050616503;FALSO
62;14.86003184;0.14609544;1.039075375;0.039389133;FALSO
74;14.91315341;0.1450475;0.992826998;0.031656742;FALSO
72;14.93196154;0.1445806;1.523070812;0.088378429;FALSO
57;15.02018404;0.19383745;1.443240404;0.018652201;FALSO
54;15.04969907;0.18068963;0.932170928;0.029515028;FALSO
52;15.07141805;0.20618917;1.141123414;0.021718979;FALSO
59;15.09152269;0.2151447;1.070450544;0.141880751;FALSO
60;15.23131609;0.14505054;1.061063528;0.018017292;FALSO
72;15.24982452;0.13666666;0.942200243;0.018508434;FALSO
59;15.27972007;0.1333293;0.975580335;0.029895544;FALSO
60;15.30183005;0.17490807;1.496706128;0.042252541;FALSO
62;15.35494971;0.19624522;1.095124364;0.069329977;FALSO
74;15.42176223;0.18270138;0.980942547;0.030459642;FALSO
73;15.44007349;0.1295254;0.70894587;0.018311262;FALSO
62;15.46160555;0.12242698;0.945196748;0.021532059;FALSO
54;15.49147224;0.08557435;0.698982775;0.029866695;FALSO
95;15.5136075;0.09095368;1.068956614;0.038271427;FALSO
94;15.56173468;0.084355764;0.927458525;0.031991005;FALSO
80;15.58187699;0.112952024;1.338995934;0.020142317;FALSO
63;15.59976888;0.101183705;0.895811379;0.017891884;FALSO
62;15.62978029;0.14663416;1.810136199;0.100287676;FALSO
45;15.7213819;0.16255815;1.112195611;0.071680546;FALSO
57;15.78979421;0.18076262;1.156266928;0.018057108;FALSO
59;15.81377554;0.14746864;0.815813839;0.023981333;FALSO
57;15.83158946;0.16315863;1.165135503;0.067537546;FALSO
58;15.90152454;0.13080117;0.801680982;0.020211458;FALSO
59;15.93132401;0.15984094;1.201402187;0.190049887;FALSO
40;16.11000299;0.15223324;1.362969279;0.018428564;FALSO
61;16.141536;0.17749985;1.165972948;0.031533003;FALSO
62;16.16152573;0.21199775;1.245039105;0.140206099;FALSO
73;16.30136585;0.12426223;0.965770304;0.019623756;FALSO
72;16.321419;0.10778506;0.86740005;0.020053148;FALSO
52;16.35317421;0.087371975;0.954262197;0.050238609;FALSO
62;16.39118814;0.08535634;1.023754716;0.019530535;FALSO
95;16.42118573;0.10087791;1.181844354;0.029997587;FALSO
73;16.44001174;0.113018006;1.1203444;0.018826008;FALSO
71;16.46150851;0.11639639;1.029892445;0.021496773;FALSO
72;16.49379563;0.16703427;1.435046792;0.032287121;FALSO
74;16.51330638;0.15731785;0.941829801;0.019510746;FALSO
62;16.5336566;0.19068672;1.095625401;0.139861345;FALSO
63;16.67346048;0.1472836;0.835825562;0.020292759;FALSO
76;16.69409537;0.13114108;0.890398383;0.02063489;FALSO
52;16.72351265;0.14771183;1.126358151;0.029417276;FALSO
57;16.74360776;0.18068607;1.223233581;0.02009511;FALSO
52;16.76428437;0.19401115;1.06062603;0.050379276;FALSO
76;16.81110358;0.22337106;1.151331067;0.017116547;FALSO
62;16.83122158;0.20365463;1.12059772;0.069582939;FALSO
61;16.90143991;0.18520345;0.909399629;0.020753384;FALSO
