Pitch (MIDI);Time (s);Intensity
66;3.63443923;0.004109452
55;0.088327885;0.005871773
55;0.821315765;0.052825566
55;0.019985437;0.057039913
55;0.020077944;0.06908723
43;0.030017138;0.08679594
43;0.019989252;0.09018964
43;0.020006657;0.088327974
43;0.031800032;0.082001746
43;0.018279314;0.07758738
43;0.020097494;0.07495597
43;0.029946089;0.06887425
43;0.019989729;0.06033662
43;0.02007246;0.063168995
43;0.030055285;0.061886095
43;0.019982338;0.055288292
43;0.01499939;0.04960344
43;0.03495717;0.09523744
78;0.020715952;0.101891235
43;0.016637325;0.10654016
43;0.030247927;0.11227273
49;0.023813248;0.109058954
49;0.018955708;0.11345164
49;0.031276464;0.11630255
49;0.015021801;0.117377535
49;0.023557901;0.11756723
49;0.031630516;0.11921181
43;0.02026701;0.1144296
43;0.019988775;0.10793385
43;0.029990196;0.09430691
43;0.018294334;0.091709554
43;0.020053387;0.07780217
43;0.020853281;0.109338306
43;0.02998209;0.11559188
52;0.015120268;0.111390375
52;0.025440693;0.110132575
52;0.030024529;0.11119539
52;0.019980669;0.11406586
52;0.01998806;0.118469045
52;0.025539637;0.116093986
52;0.019922733;0.116531916
52;0.020014763;0.11226225
52;0.030217886;0.11618481
52;0.022883415;0.11412993
52;0.021086216;0.10937629
52;0.029949665;0.112831295
52;0.02003479;0.090914935
52;0.019979239;0.08907707
52;0.029950619;0.100676864
50;0.020023584;0.09131307
50;0.015691042;0.09715308
50;0.029983759;0.089940995
50;0.020280361;0.10334996
50;0.022983074;0.10236822
50;0.029990435;0.106150344
50;0.021845341;0.10730354
50;0.01552248;0.110783435
50;0.033989191;0.1151913
50;0.01372385;0.111034
50;0.023514986;0.10803617
50;0.019767523;0.10074686
50;0.033509016;0.09276086
50;0.014992237;0.091783956
50;0.020214319;0.09939172
48;0.030230761;0.09470036
48;0.020673513;0.097614974
48;0.019970417;0.09795473
48;0.029998064;0.09941997
48;0.019992113;0.101883344
48;0.019985914;0.10111906
48;0.030150652;0.10188101
48;0.019989252;0.10195987
48;0.019994736;0.10143322
48;0.030166149;0.10537321
48;0.02013731;0.10723615
48;0.019980192;0.10514444
48;0.029775381;0.10127621
48;0.020206451;0.09311352
48;0.020196199;0.108710654
43;0.032867432;0.1108231
43;0.019988537;0.10910854
49;0.014993429;0.109457284
49;0.035401344;0.10760916
49;0.015018225;0.11523729
49;0.020158768;0.11013591
49;0.034793377;0.108411774
49;0.017142773;0.11566074
49;0.020169258;0.115565576
43;0.030003548;0.11682844
43;0.019981861;0.11890894
43;0.019989014;0.10984768
43;0.020341635;0.09858993
43;0.029975653;0.09180127
43;0.019984007;0.0903492
43;0.019808054;0.08338366
43;0.030413389;0.030807303
43;0.017631054;0.0261343
43;0.019979954;0.023668475
43;0.034197092;0.018144619
43;0.01860857;0.021551337
43;0.021359205;0.01714343
43;0.029985905;0.015750645
43;0.019991636;0.016035104
43;0.019985199;0.014255055
43;0.028698683;0.010858293
43;0.020279646;0.007602578
43;0.016714334;0.005940571
43;0.030035496;0.007022517
43;0.022973537;0.006009784
43;0.019830942;0.003934494
89;0.329744101;0.07278796
78;0.01539135;0.109851986
