Pitch (MIDI);Time (s);Intensity;Time Diff (s);Intensity_change;Pitch_change_umbrale
64;0;0.08992257;;;
64;0.019449711;0.11674716;0.019449711;1.298307684;SAME PITCH
64;0.049377203;0.108334534;0.029927492;0.927941442;SAME PITCH
64;0.069761992;0.07676671;0.020384789;0.708607912;SAME PITCH
64;0.08998251;0.055141985;0.020220518;0.718306005;SAME PITCH
64;0.110005856;0.053444553;0.020023346;0.969217062;SAME PITCH
64;0.139300346;0.05448489;0.029294491;1.019465685;SAME PITCH
76;4.669990063;0.09019312;4.530689716;1.655378699;SAME PITCH
76;4.68893981;0.19362625;0.018949747;2.146796227;NEW PITCH
64;4.70619607;0.21933188;0.01725626;1.132758975;SAME PITCH
64;4.73913765;0.2068078;0.03294158;0.942898989;SAME PITCH
64;4.758882284;0.16407304;0.019744635;0.793359995;SAME PITCH
45;4.779093266;0.14096461;0.020210981;0.859157681;SAME PITCH
45;4.809349775;0.15448052;0.03025651;1.095881581;SAME PITCH
45;4.83015132;0.14168417;0.020801544;0.917165339;SAME PITCH
45;4.850403547;0.11542748;0.020252228;0.81468153;SAME PITCH
45;4.879942656;0.09846086;0.029539108;0.853010595;SAME PITCH
45;4.899849892;0.095516555;0.019907236;0.970096707;SAME PITCH
36;4.919970512;0.081606515;0.020120621;0.854370356;SAME PITCH
36;4.940140247;0.065593824;0.020169735;0.803781688;SAME PITCH
36;4.969822884;0.060981955;0.029682636;0.92969048;SAME PITCH
62;5.198291063;0.07300313;0.22846818;1.197126746;SAME PITCH
62;5.218277931;0.07249438;0.019986868;0.993031144;SAME PITCH
62;5.245723009;0.06617069;0.027445078;0.912769973;SAME PITCH
62;5.26855278;0.060843013;0.022829771;0.919485807;SAME PITCH
62;5.285274267;0.084664695;0.016721487;1.391526937;SAME PITCH
62;5.319096327;0.07080007;0.03382206;0.836240828;SAME PITCH
62;5.339218855;0.06515552;0.020122528;0.920274794;SAME PITCH
62;5.358963013;0.060989372;0.019744158;0.936058402;SAME PITCH
62;5.389395475;0.05731089;0.030432463;0.939686537;SAME PITCH
62;5.408341646;0.05583174;0.018946171;0.974190772;SAME PITCH
62;5.458376646;0.05097062;0.050035;0.912932694;SAME PITCH
62;5.690424442;0.053643446;0.232047796;1.052438498;SAME PITCH
60;5.708248615;0.09182368;0.017824173;1.711740971;SAME PITCH
60;5.728938341;0.10473751;0.020689726;1.140637279;SAME PITCH
60;5.758225679;0.09339851;0.029287338;0.891738892;SAME PITCH
60;5.77899313;0.093340665;0.02076745;0.999380648;SAME PITCH
60;5.799068928;0.09026953;0.020075798;0.967097521;SAME PITCH
60;5.829056978;0.084779136;0.02998805;0.939177811;SAME PITCH
60;5.849633217;0.07766704;0.020576239;0.916110337;SAME PITCH
60;5.869068146;0.067908876;0.019434929;0.874358952;SAME PITCH
60;5.89902997;0.062352054;0.029961824;0.918172359;SAME PITCH
60;5.918725729;0.054682583;0.019695759;0.876997292;SAME PITCH
60;5.939376831;0.051445782;0.020651102;0.940807462;SAME PITCH
48;6.220223904;0.07766478;0.280847073;1.509643197;SAME PITCH
57;6.248786449;0.16249175;0.028562546;2.092219353;NEW PITCH
57;6.269142151;0.1354517;0.020355701;0.833591223;SAME PITCH
57;6.288852692;0.13210689;0.019710541;0.975306213;SAME PITCH
57;6.309166193;0.14596592;0.020313501;1.104907751;SAME PITCH
57;6.339470625;0.16227648;0.030304432;1.111742258;SAME PITCH
57;6.358160734;0.17176376;0.018690109;1.058463693;SAME PITCH
57;6.379849434;0.17573076;0.0216887;1.023095727;SAME PITCH
57;6.408985853;0.17258784;0.029136419;0.982115149;SAME PITCH
57;6.429847956;0.17894962;0.020862103;1.036861181;SAME PITCH
57;6.449050665;0.16874944;0.019202709;0.942999661;SAME PITCH
57;6.478824854;0.15961461;0.029774189;0.945867479;SAME PITCH
57;6.498818398;0.14776042;0.019993544;0.925732434;SAME PITCH
57;6.518893242;0.14050427;0.020074844;0.950892448;SAME PITCH
57;6.548621893;0.13094653;0.029728651;0.931975484;SAME PITCH
57;6.568749189;0.13129768;0.020127296;1.002681613;SAME PITCH
57;6.588827133;0.123654686;0.020077944;0.941788852;SAME PITCH
57;6.61914897;0.11912172;0.030321836;0.963341773;SAME PITCH
57;6.639489651;0.11325754;0.020340681;0.950771511;SAME PITCH
57;6.658220291;0.1062703;0.01873064;0.93830657;SAME PITCH
57;6.688439369;0.1016159;0.030219078;0.956202269;SAME PITCH
57;6.708084583;0.09800644;0.019645214;0.964479387;SAME PITCH
57;6.73009634;0.09640634;0.022011757;0.983673513;SAME PITCH
57;6.75924015;0.09453032;0.02914381;0.980540514;SAME PITCH
57;6.779042482;0.09295707;0.019802332;0.983357191;SAME PITCH
57;6.7988801;0.08712019;0.019837618;0.937208831;SAME PITCH
57;6.828928232;0.08712313;0.030048132;1.000033736;SAME PITCH
57;6.84932518;0.088433504;0.020396948;1.015040398;SAME PITCH
57;6.869238615;0.08307124;0.019913435;0.939363897;SAME PITCH
57;6.899231434;0.07600463;0.029992819;0.914933145;SAME PITCH
57;6.918781042;0.07523011;0.019549608;0.989809513;SAME PITCH
57;6.939264297;0.074892074;0.020483255;0.995506704;SAME PITCH
57;6.958179712;0.07271176;0.018915415;0.970887244;SAME PITCH
57;6.988936424;0.068972416;0.030756712;0.948573053;SAME PITCH
57;7.008822441;0.06377393;0.019886017;0.924629509;SAME PITCH
57;7.029317379;0.05977943;0.020494938;0.937364697;SAME PITCH
57;7.058144808;0.05833599;0.028827429;0.97585386;SAME PITCH
57;7.079736471;0.059341274;0.021591663;1.017232656;SAME PITCH
57;7.099159479;0.054191854;0.019423008;0.913223624;SAME PITCH
57;7.129408836;0.051748294;0.030249357;0.954909086;SAME PITCH
57;7.149410009;0.050290294;0.020001173;0.971825123;SAME PITCH
57;7.889049053;0.05277101;0.739639044;1.04932797;SAME PITCH
57;7.919969559;0.06716391;0.030920506;1.27274251;SAME PITCH
