Pitch (MIDI),Time (s),Intensity,Tag
73.0,0.05857491493225098,0.087582566,OK
61.0,0.11481094360351562,0.083829015,OK
75.0,0.15614104270935059,0.08953403,OK
73.0,0.1661362648010254,0.090720914,OK
61.0,0.1661362648010254,0.13163684,OK
71.0,0.17116880416870117,0.1352734,OK
50.0,0.1761319637298584,0.109642245,OK
50.0,0.18112635612487793,0.07295437,OK
50.0,0.19791340827941895,0.070915386,OK
50.0,0.21790766716003418,0.05197157,OK
50.0,0.24976682662963867,0.037712894,Suspicious
50.0,0.27263617515563965,0.03344726,Suspicious
50.0,0.2896614074707031,0.024947103,Suspicious
50.0,0.3196897506713867,0.021921972,Suspicious
50.0,0.33971595764160156,0.015546449,Suspicious
50.0,0.3596653938293457,0.010054947,Suspicious
50.0,0.38906121253967285,0.008468539,Suspicious
50.0,0.4096672534942627,0.004598226,Suspicious
50.0,0.4296233654022217,0.06410944,OK
55.0,0.4619903564453125,0.12852924,OK
43.0,0.4819796085357666,0.120707996,OK
43.0,0.4995710849761963,0.12760274,OK
55.0,0.5295839309692383,0.16340157,OK
55.0,0.5495326519012451,0.16806221,OK
55.0,0.5695617198944092,0.16413511,OK
55.0,0.5995941162109375,0.17596042,OK
55.0,0.619537353515625,0.19883071,OK
55.0,0.6395647525787354,0.19204056,OK
55.0,0.6695492267608643,0.18460324,OK
55.0,0.6895036697387695,0.17803569,OK
55.0,0.7094104290008545,0.18810925,OK
55.0,0.7393560409545898,0.20297937,OK
55.0,0.7593491077423096,0.14520162,OK
55.0,0.7793381214141846,0.09889488,OK
55.0,0.8093245029449463,0.16677383,OK
55.0,0.8293592929840088,0.16396432,OK
55.0,0.849306583404541,0.16438004,OK
55.0,0.8692924976348877,0.14915454,OK
55.0,0.899341344833374,0.14636992,OK
55.0,0.919309139251709,0.12881485,OK
55.0,0.9393360614776611,0.115151964,OK
55.0,0.9693219661712646,0.09386084,OK
55.0,0.9892725944519043,0.07131871,OK
55.0,1.009336233139038,0.05537563,OK
55.0,1.039323329925537,0.06666673,OK
55.0,1.059274435043335,0.034231033,Suspicious
