Pitch (MIDI),Time (s),Intensity,Tag
50.0,0.10786724090576172,0.0807189,OK
64.0,0.12881064414978027,0.045693614,Suspicious
45.0,0.1986241340637207,0.0035776768,Suspicious
55.0,3.198309898376465,0.20265895,OK
55.0,3.218289852142334,0.28375453,OK
55.0,3.2382731437683105,0.2698287,OK
55.0,3.2682621479034424,0.24094777,OK
55.0,3.288865089416504,0.18194295,OK
55.0,3.308110475540161,0.16960502,OK
55.0,3.3385531902313232,0.12756813,OK
55.0,3.3577449321746826,0.09545268,OK
55.0,3.3783295154571533,0.062484846,OK
55.0,3.40785813331604,0.037661802,Suspicious
55.0,3.4278528690338135,0.017093208,Suspicious
55.0,3.4480531215667725,0.0072551635,Suspicious
55.0,3.476475954055786,0.003499776,Suspicious
64.0,4.076678037643433,0.009695572,Suspicious
64.0,4.0983428955078125,0.24199814,OK
64.0,4.1265716552734375,0.30809578,OK
64.0,4.148242712020874,0.27079874,OK
64.0,4.16819429397583,0.27584904,OK
64.0,4.198501110076904,0.30790272,OK
64.0,4.218163251876831,0.30471554,OK
64.0,4.238278388977051,0.21956782,OK
64.0,4.257121801376343,0.14836276,OK
64.0,4.287761211395264,0.10452473,OK
64.0,4.3083484172821045,0.07883978,OK
64.0,4.327973365783691,0.05352046,OK
64.0,4.358347177505493,0.032055493,Suspicious
64.0,4.375601053237915,0.014057932,Suspicious
64.0,4.39788293838501,0.006941112,Suspicious
64.0,4.4265289306640625,0.004895954,Suspicious
62.0,4.798321008682251,0.076228924,OK
62.0,4.821000814437866,0.07503721,OK
62.0,4.848066806793213,0.047410417,Suspicious
62.0,4.868209600448608,0.03975757,Suspicious
62.0,4.8867268562316895,0.037838794,Suspicious
62.0,4.9182655811309814,0.041290857,Suspicious
62.0,4.94052529335022,0.03733713,Suspicious
62.0,4.958998203277588,0.02654396,Suspicious
62.0,4.979008436203003,0.021891559,Suspicious
62.0,5.00911545753479,0.021205321,Suspicious
62.0,5.029059171676636,0.018402776,Suspicious
62.0,5.0479209423065186,0.019190527,Suspicious
62.0,5.078943490982056,0.014988966,Suspicious
62.0,5.098177671432495,0.01259647,Suspicious
62.0,5.119356870651245,0.009721901,Suspicious
62.0,5.149075269699097,0.004716585,Suspicious
74.0,5.427741765975952,0.034401175,Suspicious
60.0,5.447843790054321,0.06872032,OK
60.0,5.46802282333374,0.098087795,OK
60.0,5.497793436050415,0.1240537,OK
60.0,5.517878293991089,0.12826885,OK
60.0,5.538086414337158,0.12742196,OK
60.0,5.568090200424194,0.11645547,OK
60.0,5.588236331939697,0.100440964,OK
60.0,5.608243703842163,0.0835621,OK
60.0,5.627813100814819,0.066779085,OK
60.0,5.658089876174927,0.05555582,OK
60.0,5.6778388023376465,0.04804282,Suspicious
60.0,5.698103666305542,0.040832,Suspicious
60.0,5.727035999298096,0.035274815,Suspicious
60.0,5.7483086585998535,0.028801307,Suspicious
60.0,5.7682318687438965,0.022840334,Suspicious
60.0,5.798151969909668,0.016583811,Suspicious
60.0,5.820164442062378,0.01016786,Suspicious
60.0,5.837930679321289,0.006624273,Suspicious
60.0,5.868189096450806,0.004837343,Suspicious
55.0,6.609939098358154,0.126198,OK
55.0,6.628368139266968,0.2628533,OK
55.0,6.658537864685059,0.23757249,OK
55.0,6.678420305252075,0.18993342,OK
55.0,6.697937965393066,0.16269828,OK
55.0,6.728597640991211,0.15256058,OK
55.0,6.748100996017456,0.13702944,OK
55.0,6.768320560455322,0.12178005,OK
55.0,6.798348665237427,0.09627699,OK
55.0,6.818207025527954,0.082235,OK
55.0,6.838191032409668,0.07231181,OK
55.0,6.868336915969849,0.061257757,OK
55.0,6.888500928878784,0.049520828,Suspicious
55.0,6.908513069152832,0.04072099,Suspicious
55.0,6.9381632804870605,0.034338955,Suspicious
55.0,6.958523273468018,0.028898183,Suspicious
55.0,6.976212978363037,0.024389174,Suspicious
55.0,6.998099327087402,0.021229068,Suspicious
55.0,7.027987241744995,0.017865172,Suspicious
55.0,7.047938346862793,0.010991324,Suspicious
55.0,7.06816840171814,0.0059637013,Suspicious
55.0,8.369195699691772,0.12699991,OK
55.0,8.398247241973877,0.22913638,OK
55.0,8.41808032989502,0.18944328,OK
55.0,8.438060283660889,0.15193422,OK
55.0,8.468120336532593,0.11051098,OK
55.0,8.488121747970581,0.0877236,OK
55.0,8.50800895690918,0.06999452,OK
55.0,8.537886142730713,0.06066588,OK
55.0,8.558413982391357,0.0518179,OK
55.0,8.57823657989502,0.047920346,Suspicious
55.0,8.608243465423584,0.040256757,Suspicious
55.0,8.626003980636597,0.035608698,Suspicious
55.0,8.648160696029663,0.024406685,Suspicious
55.0,8.675992965698242,0.014984708,Suspicious
55.0,8.698326587677002,0.0080663655,Suspicious
55.0,8.717917203903198,0.00454236,Suspicious
55.0,9.045655488967896,0.054496527,OK
55.0,9.068083047866821,0.06354228,OK
55.0,9.088170289993286,0.053351462,OK
55.0,9.118178844451904,0.038257055,Suspicious
55.0,9.138778448104858,0.029901022,Suspicious
55.0,9.158800840377808,0.02513534,Suspicious
55.0,9.188228368759155,0.022583315,Suspicious
55.0,9.207657098770142,0.019997207,Suspicious
55.0,9.22764539718628,0.018417167,Suspicious
55.0,9.25762939453125,0.015323244,Suspicious
55.0,9.27761960029602,0.0116529595,Suspicious
55.0,9.297607660293579,0.0059996564,Suspicious
64.0,9.678167343139648,0.10408629,OK
64.0,9.69773817062378,0.2669861,OK
64.0,9.720870733261108,0.31533515,OK
64.0,9.740611791610718,0.31208265,OK
64.0,9.7701096534729,0.28795475,OK
64.0,9.788469552993774,0.28717175,OK
64.0,9.810148000717163,0.26625788,OK
64.0,9.840126276016235,0.19179869,OK
64.0,9.860144138336182,0.14837357,OK
64.0,9.880453824996948,0.1165775,OK
64.0,9.90574049949646,0.091950186,OK
64.0,9.92851185798645,0.065815635,OK
64.0,9.947824239730835,0.041391168,Suspicious
64.0,9.97948670387268,0.020107994,Suspicious
64.0,9.998834133148193,0.009009316,Suspicious
64.0,10.019480466842651,0.0049356897,Suspicious
62.0,10.397729635238647,0.077577785,OK
62.0,10.417882442474365,0.11503355,OK
62.0,10.438166618347168,0.08432165,OK
62.0,10.458406686782837,0.054163214,OK
