Pitch (MIDI),Time (s),Intensity,Tag
52.0,0.057301998138427734,0.020692982,Suspicious
52.0,0.08685803413391113,0.021334233,Suspicious
52.0,0.1167759895324707,0.032335788,Suspicious
52.0,0.12042069435119629,0.02674842,Suspicious
52.0,0.14661192893981934,0.026094455,Suspicious
31.0,0.17662453651428223,0.021153813,Suspicious
30.0,0.20664215087890625,0.020916196,Suspicious
30.0,0.2366170883178711,0.012527722,Suspicious
39.0,0.23932790756225586,0.02117515,Suspicious
39.0,0.26682543754577637,0.034536082,Suspicious
51.0,0.2965869903564453,0.05969575,OK
51.0,0.32710790634155273,0.079357706,OK
51.0,0.342318058013916,0.08706009,OK
51.0,0.36531615257263184,0.06486523,OK
50.0,0.377216100692749,0.034596268,Suspicious
50.0,0.4009392261505127,0.045663696,Suspicious
49.0,0.4311354160308838,0.04391408,Suspicious
49.0,0.4607851505279541,0.08127515,OK
74.0,0.49098682403564453,0.09027521,OK
75.0,0.5014743804931641,0.06525119,OK
74.0,0.5361130237579346,0.040899485,Suspicious
46.0,0.5411231517791748,0.050979473,OK
45.0,0.581085205078125,0.05000872,OK
45.0,0.5934338569641113,0.084447525,OK
74.0,0.6261961460113525,0.09357264,OK
75.0,0.6364850997924805,0.092826694,OK
75.0,0.6710231304168701,0.05578863,OK
75.0,0.7010598182678223,0.04447404,Suspicious
44.0,0.7052061557769775,0.034347102,Suspicious
44.0,0.7302350997924805,0.07161293,OK
74.0,0.7603020668029785,0.08961796,OK
75.0,0.7901806831359863,0.078089155,OK
44.0,0.8034636974334717,0.054218054,OK
75.0,0.8353030681610107,0.0357946,Suspicious
43.0,0.8409018516540527,0.03920263,Suspicious
44.0,0.8647820949554443,0.06233055,OK
43.0,0.8952934741973877,0.05738716,OK
74.0,0.925398588180542,0.055058315,OK
43.0,0.9550614356994629,0.050771642,OK
43.0,0.9667859077453613,0.03108581,Suspicious
43.0,0.9989461898803711,0.034746278,Suspicious
43.0,1.0016546249389648,0.047087472,Suspicious
43.0,1.0288805961608887,0.04864858,Suspicious
43.0,1.0586574077606201,0.047019497,Suspicious
43.0,1.0886573791503906,0.034957003,Suspicious
42.0,1.091353416442871,0.03984484,Suspicious
42.0,1.1187386512756348,0.035104405,Suspicious
42.0,1.14874267578125,0.039939065,Suspicious
42.0,1.1785862445831299,0.03410424,Suspicious
43.0,1.2086246013641357,0.03983241,Suspicious
74.0,1.2113659381866455,0.032320898,Suspicious
75.0,1.238696813583374,0.036041256,Suspicious
76.0,1.2687342166900635,0.03826326,Suspicious
42.0,1.2988481521606445,0.040074322,Suspicious
42.0,1.3015363216400146,0.038751658,Suspicious
42.0,1.3288345336914062,0.037270352,Suspicious
42.0,1.358750343322754,0.04105321,Suspicious
42.0,1.3877708911895752,0.041146513,Suspicious
42.0,1.4178156852722168,0.03392246,Suspicious
42.0,1.421550989151001,0.032082338,Suspicious
42.0,1.447960615158081,0.023882328,Suspicious
42.0,1.477813720703125,0.024807272,Suspicious
42.0,1.5077095031738281,0.024048327,Suspicious
43.0,1.5104522705078125,0.027417427,Suspicious
43.0,1.5379009246826172,0.024896914,Suspicious
43.0,1.568117618560791,0.035425995,Suspicious
